folder_1,folder_2,folder_3,file_name,purpose,usage_location,used_in_base_process,cloud_run_deployment,temporary_file,notes,質問メモ,回答
,,,CHANGELOG.md,変更履歴ドキュメント,ドキュメント,No,No,No,プロジェクト履歴管理,text/配下に置いても問題ないか,問題なし。docs/配下に移動推奨
,,,PREVENTION_PLAN.md,データ重複防止策ドキュメント,ドキュメント,No,No,No,運用改善提案書,text/配下に置いても問題ないか,問題なし。docs/配下に移動推奨
,,,README.md,メインドキュメント,ドキュメント,No,No,No,6ステップ処理フロー記載,変更しない,変更なし（ルートに必須）
,,,check_excel_sheets.py,Excelシート確認ツール,開発・デバッグ,No,No,Yes,開発用・削除候補,modules/test_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。dev_tools/testing/ 配下に移動推奨
,,,debug_excel_read.py,Excel読込デバッグツール,開発・デバッグ,No,No,Yes,開発用・削除候補,modules/test_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。dev_tools/testing/ 配下に移動推奨
,,,test_csv_generation.py,CSV生成テストツール,開発・デバッグ,No,No,Yes,開発用・削除候補,modules/test_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。dev_tools/testing/ 配下に移動推奨
,,,test_drive_connection.py,Drive接続テストツール,開発・デバッグ,No,No,Yes,開発用・削除候補,modules/test_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。dev_tools/testing/ 配下に移動推奨
,,,test_bigquery_connection.py,BigQuery接続テストツール,開発・デバッグ,No,No,Yes,開発用・削除候補,modules/test_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。dev_tools/testing/ 配下に移動推奨
,,,sync_drive_to_gcs.py,Drive→GCS手動実行スクリプト,Drive→GCS,Yes,No,No,ローカル手動実行用・run_service/main.pyと重複,modules/manual_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。scripts/manual/ 配下に移動推奨（ローカル開発時に有用）
,,,transform_raw_to_proceed.py,raw→proceed手動変換スクリプト,raw→proceed変換,Yes,No,No,ローカル手動実行用・gcs_to_bq_service/main.pyと重複,modules/manual_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。scripts/manual/ 配下に移動推奨（ローカル開発時に有用）
,,,load_to_bigquery.py,BigQuery手動ロードスクリプト,BigQueryロード,Yes,No,No,ローカル手動実行用・gcs_to_bq_service/main.pyと重複,modules/manual_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。scripts/manual/ 配下に移動推奨（ローカル開発時に有用）
,,,run_etl_profit_plan_term.py,profit_plan_term専用ETL,raw→proceed変換,No,No,Yes,特定テーブル用・削除候補,modules/tmp_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（特定テーブル専用処理は不要）
,,,transform_profit_plan_term.py,profit_plan_term変換処理,raw→proceed変換,No,No,Yes,特定テーブル用・削除候補,modules/tmp_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（特定テーブル専用処理は不要）
,,,create_dwh_tables.sql,DWHテーブル作成SQL,DWH作成,No,No,No,初回セットアップ用・既に実行済み,modules/setup_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。sql/setup/ 配下に移動推奨（初回実行済み・再実行の可能性あり）
,,,create_dm_table_wrapper.sql,DataMartテーブル作成SQL,DataMart作成,No,No,No,初回セットアップ用・既に実行済み,modules/setup_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。sql/setup/ 配下に移動推奨（初回実行済み・再実行の可能性あり）
,,,recreate_tables.sql,テーブル再作成SQL,DWH/DataMart作成,No,No,Yes,初回セットアップ用・既に実行済み,modules/setup_moduleディレクトリを作ってその配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（一時的な修正用・今後不要）
,,,setup_instructions.md,セットアップ手順書,ドキュメント,No,No,No,初回構築用ドキュメント,text/配下に置いても問題ないか,問題なし。docs/setup/ 配下に移動推奨
,,,transformation_proposal.md,変換処理提案書,ドキュメント,No,No,No,設計ドキュメント,text/配下に置いても問題ないか,問題なし。docs/design/ 配下に移動推奨
,,,memo.txt,メモファイル,ドキュメント,No,No,Yes,開発メモ・削除候補,text/配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（開発メモは整理後不要）
,,,profit_plan_term_schema.json,profit_plan_termスキーマ定義,設定ファイル,No,No,Yes,スキーマ参照用・削除候補,text/配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（一時的なスキーマ定義用）
,,,looker-bq-connection.json,Looker Studio接続情報,設定ファイル,Yes,No,No,Looker Studio接続設定,config/に移動しても問題ないか,問題なし。config/ 配下に移動推奨（設定ファイルは統一配置）
,,,current_dir.zip,プロジェクトアーカイブ,バックアップ,No,No,Yes,削除候補,delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（不要なアーカイブ・Gitで管理済み）
run_service,,,main.py,Drive→GCS同期処理,Drive→GCS,Yes,Yes (drive-to-gcs),No,Pub/Sub経由で自動実行・Cloud Run本体,変更しない,変更なし（Cloud Run本体）
run_service,,,Dockerfile,drive-to-gcsコンテナ定義,Cloud Runデプロイ,Yes,Yes (drive-to-gcs),No,Dockerビルド設定,変更しない,変更なし（Cloud Run本体）
run_service,,,requirements.txt,drive-to-gcs依存パッケージ,Cloud Runデプロイ,Yes,Yes (drive-to-gcs),No,Python依存関係,変更しない,変更なし（Cloud Run本体）
run_service,,,Procfile,Heroku用設定ファイル,未使用,No,No,Yes,削除候補（Herokuは使用していない）,変更しない,物理削除推奨（Heroku未使用・Cloud Runに統一済み）
run_service,,,runtime.txt,Python実行環境指定,未使用,No,No,Yes,削除候補（Herokuは使用していない）,変更しない,物理削除推奨（Heroku未使用・Cloud Runに統一済み）
gcs_to_bq_service,,,main.py,raw→proceed変換+BigQueryロード,raw→proceed+BigQueryロード,Yes,Yes (gcs-to-bq),No,Pub/Sub経由で自動実行・Cloud Run本体,変更しない,変更なし（Cloud Run本体）
gcs_to_bq_service,,,Dockerfile,gcs-to-bqコンテナ定義,Cloud Runデプロイ,Yes,Yes (gcs-to-bq),No,Dockerビルド設定,変更しない,変更なし（Cloud Run本体）
gcs_to_bq_service,,,requirements.txt,gcs-to-bq依存パッケージ,Cloud Runデプロイ,Yes,Yes (gcs-to-bq),No,Python依存関係,変更しない,変更なし（Cloud Run本体）
gcs_to_bq_service,,,my_memo.txt,開発メモ,ドキュメント,No,No,Yes,削除候補,変更しない,物理削除推奨（開発メモは不要）
function,,,main.py,Cloud Functions用処理,未使用,No,No,Yes,削除候補（Cloud Runに統一済み）,text/配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（Cloud Runに移行済み）
function,,,requirements.txt,Cloud Functions依存パッケージ,未使用,No,No,Yes,削除候補,text/配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（Cloud Runに移行済み）
columns,,,sales_target_and_achievements.csv,売上目標実績カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,billing_balance.csv,請求残高カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,ledger_income.csv,雑収入カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,department_summary.csv,部門集計カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,internal_interest.csv,社内金利カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,profit_plan_term.csv,損益5期目標カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,ledger_loss.csv,雑損失カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,stocks.csv,在庫カラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,ms_allocation_ratio.csv,案分比率マスタカラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
columns,,,ms_department_category.csv,部門カテゴリマスタカラム定義,raw→proceed変換,Yes,No,Yes,旧場所・config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
config,columns,,sales_target_and_achievements.csv,売上目標実績カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,billing_balance.csv,請求残高カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,ledger_income.csv,雑収入カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,department_summary.csv,部門集計カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,internal_interest.csv,社内金利カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,profit_plan_term.csv,損益5期目標カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,profit_plan_term_fixed.csv,損益5期目標カラム定義（修正版）,未使用,No,No,Yes,削除候補,変更しない,物理削除推奨（未使用・profit_plan_term.csvが正）
config,columns,,ledger_loss.csv,雑損失カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,stocks.csv,在庫カラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,columns,,ms_allocation_ratio.csv,案分比率マスタカラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
